,LSOA21CD,LSOA21NM,Fuel,Keepership,2025 Q1
131820,E01008031,Sheffield 061A,Total,Private,12
131821,E01008032,Sheffield 056C,Total,Private,8
131822,E01008033,Sheffield 061B,Total,Private,25
131823,E01008034,Sheffield 056D,Total,Private,21
131824,E01008035,Sheffield 063B,Total,Private,21
131825,E01008036,Sheffield 063C,Total,Private,15
131826,E01008037,Sheffield 065E,Total,Private,16
131827,E01008038,Sheffield 061C,Total,Private,21
131828,E01008039,Sheffield 065F,Total,Private,17
131829,E01008040,Sheffield 061D,Total,Private,36
131830,E01008041,Sheffield 063D,Total,Private,21
131831,E01008042,Sheffield 050A,Total,Private,8
131832,E01008043,Sheffield 046A,Total,Private,49
131833,E01008044,Sheffield 046B,Total,Private,48
131834,E01008045,Sheffield 050B,Total,Private,20
131835,E01008046,Sheffield 050C,Total,Private,14
131836,E01008047,Sheffield 046C,Total,Private,[c]
131837,E01008048,Sheffield 046D,Total,Private,30
131838,E01008049,Sheffield 050D,Total,Private,41
131839,E01008050,Sheffield 046E,Total,Private,12
131840,E01008051,Sheffield 050E,Total,Private,25
131841,E01008052,Sheffield 050F,Total,Private,27
131842,E01008053,Sheffield 006A,Total,Private,8
131843,E01008054,Sheffield 007B,Total,Private,[c]
131844,E01008055,Sheffield 007C,Total,Private,[c]
131845,E01008056,Sheffield 006B,Total,Private,13
131846,E01008057,Sheffield 007D,Total,Private,8
131847,E01008058,Sheffield 006C,Total,Private,28
131848,E01008059,Sheffield 010C,Total,Private,[c]
131849,E01008060,Sheffield 010D,Total,Private,[c]
131850,E01008061,Sheffield 011A,Total,Private,6
131851,E01008062,Sheffield 013E,Total,Private,6
131852,E01008063,Sheffield 011B,Total,Private,15
131853,E01008065,Sheffield 026A,Total,Private,6
131854,E01008066,Sheffield 028B,Total,Private,5
131855,E01008068,Sheffield 026B,Total,Private,8
131856,E01008069,Sheffield 028C,Total,Private,8
131857,E01008072,Sheffield 026C,Total,Private,12
131858,E01008073,Sheffield 030E,Total,Private,14
131859,E01008074,Sheffield 028D,Total,Private,16
131860,E01008076,Sheffield 060C,Total,Private,8
131861,E01008078,Sheffield 064E,Total,Private,40
131862,E01008079,Sheffield 064F,Total,Private,22
131863,E01008080,Sheffield 069D,Total,Private,14
131864,E01008084,Sheffield 070D,Total,Private,[c]
131865,E01008085,Sheffield 009A,Total,Private,9
131866,E01008086,Sheffield 009B,Total,Private,14
131867,E01008087,Sheffield 012A,Total,Private,16
131868,E01008088,Sheffield 012B,Total,Private,6
131869,E01008089,Sheffield 017B,Total,Private,14
131870,E01008090,Sheffield 012C,Total,Private,5
131871,E01008091,Sheffield 017C,Total,Private,8
131872,E01008093,Sheffield 017D,Total,Private,10
131873,E01008094,Sheffield 019D,Total,Private,5
131874,E01008095,Sheffield 043A,Total,Private,16
131875,E01008096,Sheffield 043B,Total,Private,15
131876,E01008097,Sheffield 043C,Total,Private,8
131877,E01008098,Sheffield 048A,Total,Private,[c]
131878,E01008099,Sheffield 051E,Total,Private,8
131879,E01008101,Sheffield 043D,Total,Private,6
131880,E01008102,Sheffield 048C,Total,Private,5
131881,E01008104,Sheffield 036E,Total,Private,19
131882,E01008105,Sheffield 040A,Total,Private,10
131883,E01008107,Sheffield 040C,Total,Private,10
131884,E01008108,Sheffield 042A,Total,Private,5
131885,E01008109,Sheffield 042B,Total,Private,7
131886,E01008111,Sheffield 040D,Total,Private,23
131887,E01008112,Sheffield 042D,Total,Private,6
131888,E01008113,Sheffield 042E,Total,Private,15
131889,E01008114,Sheffield 074A,Total,Private,5
131890,E01008115,Sheffield 074B,Total,Private,8
131891,E01008116,Sheffield 009C,Total,Private,[c]
131892,E01008117,Sheffield 009D,Total,Private,11
131893,E01008118,Sheffield 009E,Total,Private,9
131894,E01008119,Sheffield 009F,Total,Private,11
131895,E01008122,Sheffield 012E,Total,Private,6
131896,E01008123,Sheffield 015E,Total,Private,14
131897,E01008124,Sheffield 012F,Total,Private,5
131898,E01008125,Sheffield 009G,Total,Private,14
131899,E01008126,Sheffield 008A,Total,Private,41
131900,E01008128,Sheffield 008C,Total,Private,67
131901,E01008129,Sheffield 023A,Total,Private,62
131902,E01008130,Sheffield 023B,Total,Private,30
131903,E01008131,Sheffield 023C,Total,Private,29
131904,E01008132,Sheffield 023D,Total,Private,34
131905,E01008133,Sheffield 023E,Total,Private,35
131906,E01008134,Sheffield 005B,Total,Private,25
131907,E01008135,Sheffield 005C,Total,Private,31
131908,E01008136,Sheffield 008D,Total,Private,44
131909,E01008137,Sheffield 005D,Total,Private,22
131910,E01008138,Sheffield 006D,Total,Private,14
131911,E01008139,Sheffield 006E,Total,Private,14
131912,E01008140,Sheffield 008E,Total,Private,37
131913,E01008141,Sheffield 005E,Total,Private,33
131914,E01008142,Sheffield 002A,Total,Private,12
131915,E01008143,Sheffield 002B,Total,Private,26
131916,E01008144,Sheffield 001A,Total,Private,34
131917,E01008145,Sheffield 001B,Total,Private,14
131918,E01008146,Sheffield 002C,Total,Private,25
131919,E01008147,Sheffield 002D,Total,Private,36
131920,E01008148,Sheffield 001C,Total,Private,14
131921,E01008149,Sheffield 001D,Total,Private,13
131922,E01008150,Sheffield 001E,Total,Private,9
131923,E01008151,Sheffield 024A,Total,Private,12
131924,E01008152,Sheffield 025C,Total,Private,20
131925,E01008153,Sheffield 024B,Total,Private,14
131926,E01008154,Sheffield 024C,Total,Private,14
131927,E01008155,Sheffield 024D,Total,Private,16
131928,E01008156,Sheffield 024E,Total,Private,20
131929,E01008157,Sheffield 026D,Total,Private,6
131930,E01008158,Sheffield 025D,Total,Private,21
131931,E01008159,Sheffield 029D,Total,Private,13
131932,E01008160,Sheffield 024F,Total,Private,11
131933,E01008161,Sheffield 026E,Total,Private,10
154488,E01032585,Sheffield 072E,Total,Private,23
155007,E01033261,Sheffield 073A,Total,Private,[c]
155008,E01033262,Sheffield 073B,Total,Private,16
155009,E01033263,Sheffield 073C,Total,Private,7
155010,E01033264,Sheffield 073D,Total,Private,12
155011,E01033265,Sheffield 074C,Total,Private,[c]
155012,E01033268,Sheffield 075G,Total,Private,19
155013,E01033269,Sheffield 022G,Total,Private,7
155014,E01033271,Sheffield 040E,Total,Private,[c]
155015,E01033272,Sheffield 040F,Total,Private,5
155016,E01033274,Sheffield 042G,Total,Private,[c]
155017,E01033275,Sheffield 008F,Total,Private,37
155018,E01033276,Sheffield 073E,Total,Private,6
155019,E01033277,Sheffield 011E,Total,Private,21
155020,E01033279,Sheffield 076F,Total,Private,8
155021,E01033280,Sheffield 008G,Total,Private,53
156380,E01034842,Sheffield 022I,Total,Private,6
156381,E01034843,Sheffield 036F,Total,Private,36
156382,E01034844,Sheffield 074F,Total,Private,9
156383,E01034845,Sheffield 076G,Total,Private,7
156384,E01034846,Sheffield 076H,Total,Private,8
